Cep;Latitude;Longitude;UF;Cidade
57603122;-9,4170806;-36,6305268;AL;PALMEIRA DOS ÍNDIOS
57603123;-9,4215214;-36,6278951;AL;PALMEIRA DOS ÍNDIOS
57603124;-9,4164482;-36,6310253;AL;PALMEIRA DOS ÍNDIOS
57603126;-9,4164482;-36,6310253;AL;PALMEIRA DOS ÍNDIOS
57603128;-9,406106;-36,6331433;AL;PALMEIRA DOS ÍNDIOS
57603130;-9,4188274;-36,6313829;AL;PALMEIRA DOS ÍNDIOS
57603131;-9,4181255;-36,6306938;AL;PALMEIRA DOS ÍNDIOS
57603132;-9,4179719;-36,6318203;AL;PALMEIRA DOS ÍNDIOS
57603133;-9,4177411;-36,6305545;AL;PALMEIRA DOS ÍNDIOS
57603134;-9,406106;-36,6331433;AL;PALMEIRA DOS ÍNDIOS
57603135;-9,406106;-36,6331433;AL;PALMEIRA DOS ÍNDIOS
57603138;-9,4130502;-36,6308111;AL;PALMEIRA DOS ÍNDIOS
57603140;-9,4139915;-36,6297982;AL;PALMEIRA DOS ÍNDIOS
57603142;-9,406106;-36,6331433;AL;PALMEIRA DOS ÍNDIOS
57603145;-9,4165755;-36,6269209;AL;PALMEIRA DOS ÍNDIOS
57603150;-9,419053;-36,6260595;AL;PALMEIRA DOS ÍNDIOS
57603152;-9,406106;-36,6331433;AL;PALMEIRA DOS ÍNDIOS
57603160;-9,4262887;-36,6212818;AL;PALMEIRA DOS ÍNDIOS
57603170;-9,4289988;-36,6223318;AL;PALMEIRA DOS ÍNDIOS
57603180;-9,4275846;-36,6181651;AL;PALMEIRA DOS ÍNDIOS
57603190;-9,4197587;-36,6304689;AL;PALMEIRA DOS ÍNDIOS
57603200;-9,4278228;-36,6200354;AL;PALMEIRA DOS ÍNDIOS
57603210;-9,4278603;-36,6208658;AL;PALMEIRA DOS ÍNDIOS
57603220;-9,428276;-36,6213616;AL;PALMEIRA DOS ÍNDIOS
57603225;-9,4286493;-36,6218673;AL;PALMEIRA DOS ÍNDIOS
57603230;-9,4234233;-36,6450281;AL;PALMEIRA DOS ÍNDIOS
57603270;-9,4210665;-36,6264949;AL;PALMEIRA DOS ÍNDIOS
57603280;-9,4215769;-36,6271611;AL;PALMEIRA DOS ÍNDIOS
57603282;-9,4220253;-36,6260703;AL;PALMEIRA DOS ÍNDIOS
57603290;-9,4221329;-36,6305124;AL;PALMEIRA DOS ÍNDIOS
57603292;-9,4227004;-36,6305073;AL;PALMEIRA DOS ÍNDIOS
57603294;-9,4238014;-36,6313665;AL;PALMEIRA DOS ÍNDIOS
57603296;-9,4232164;-36,6312429;AL;PALMEIRA DOS ÍNDIOS
57603298;-9,4238014;-36,6313665;AL;PALMEIRA DOS ÍNDIOS
57604024;-9,4043183;-36,632386;AL;PALMEIRA DOS ÍNDIOS
57604026;-9,4151606;-36,6261655;AL;PALMEIRA DOS ÍNDIOS
57604028;-9,4120373;-36,6322917;AL;PALMEIRA DOS ÍNDIOS
57604032;-9,4120373;-36,6322917;AL;PALMEIRA DOS ÍNDIOS
57604034;-9,4248701;-36,6278644;AL;PALMEIRA DOS ÍNDIOS
57604036;-9,4076377;-36,6309561;AL;PALMEIRA DOS ÍNDIOS
57604040;-9,4252374;-36,6267868;AL;PALMEIRA DOS ÍNDIOS
57604042;-9,4207898;-36,631661;AL;PALMEIRA DOS ÍNDIOS
57604044;-9,4061693;-36,6249568;AL;PALMEIRA DOS ÍNDIOS
57604046;-9,4151444;-36,6236203;AL;PALMEIRA DOS ÍNDIOS
57604048;-9,4120373;-36,6322917;AL;PALMEIRA DOS ÍNDIOS
